designation,abs_mag,slope_param,epoch,mean_anomaly,arg_perihelion,long_asc_node,inclination,eccentricity,mean_motion,semi_major_axis,uncertainty,reference,num_observations,num_oppositions,first_obs,separator,last_obs,rms_residual,coarse_perturbers,precise_perturbers,computer,hex_flags,designation_full,last_obs_date,orbit_type,is_neo
00776,7.69,0.15,K25BL,184.6909,306.21495,79.64441,18.24709,0.1652473,0.1965009,2.9301713,0,MPO937425,5165.0,59,1914,-,2025,0.64,M-v,3Ek,MPCORBFIT,0000,(776) Berbericia,2025-08-09,Type 0,False
00777,9.77,0.15,K25BL,59.82664,265.04428,282.96193,12.90607,0.117109,0.17078272,3.2174127,0,MPO950958,5641.0,42,1914,-,2025,0.63,M-v,3Ek,MPCLINUX,0000,(777) Gutemberga,2025-09-22,Type 0,False
00778,9.88,0.15,K25BL,254.09051,135.1839,321.18723,13.71725,0.2568623,0.17393276,3.1784481,0,E2025-V38,8689.0,44,1923,-,2025,0.49,M-v,3Ek,MPCORBFIT,0000,(778) Theobalda,2025-11-05,Type 0,False
00779,7.96,0.15,K25BL,34.72399,49.09893,283.69809,14.57386,0.2262772,0.2266091,2.6645128,0,E2025-V34,3698.0,55,1916,-,2025,0.72,M-v,3Ek,MPCORBFIT,0000,(779) Nina,2025-10-31,Type 0,False
00780,8.98,0.15,K25BL,239.08064,211.65029,144.77682,19.07594,0.0957631,0.17932017,3.1144638,0,MPO950958,5492.0,46,1909,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(780) Armenia,2025-08-14,Type 0,False
00781,9.47,0.15,K25BL,285.12507,154.13928,137.98607,19.14168,0.1198651,0.17100888,3.2145754,0,E2025-UJ7,5476.0,45,1926,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(781) Kartvelia,2025-07-18,Type 0,False
00782,11.34,0.15,K25BL,271.87833,82.12855,80.41009,5.25968,0.0393504,0.30624424,2.1798374,0,E2025-V38,5733.0,48,1915,-,2025,0.63,M-v,3Ek,MPCORBFIT,0000,(782) Montefiore,2025-11-04,Type 0,False
00783,11.11,0.15,K25BL,326.86917,154.68322,142.01201,9.34194,0.2309632,0.27502909,2.3418027,0,E2025-UJ7,5540.0,44,1911,-,2025,0.63,M-v,3Ek,MPCORBFIT,0000,(783) Nora,2025-08-27,Type 0,False
00784,9.3,0.15,K25BL,99.08253,237.77592,14.88782,12.28059,0.2409271,0.18075579,3.0979512,0,E2025-V65,5586.0,47,1914,-,2025,0.66,M-v,3Ek,MPCORBFIT,0000,(784) Pickeringia,2025-11-10,Type 0,False
00785,9.46,0.15,K25BL,0.53943,132.46707,71.74102,12.78625,0.2070009,0.23905875,2.5711828,0,E2025-UJ7,5541.0,50,1920,-,2025,0.67,M-v,3Ek,MPCORBFIT,0000,(785) Zwetana,2025-06-07,Type 0,False
